DTW	DistanceNormalization	FeatureNormalization	Clustering	Feature	Newick
DTW-D	by-max	CMN	UPGMA	CQCC	((((((((((((Sinhala:2.619777,Nepali:2.619777):0.172176,(Welsh:2.569477,Irish:2.569477):0.222476):0.021920,Armenian:2.813874):0.081355,Albanian:2.895228):0.059540,(Persian:2.878807,Pashto:2.878807):0.075961):0.121580,((((Spanish:2.224014,Galician:2.224014):0.277525,Italian:2.501539):0.065249,Portuguese:2.566788):0.281188,Catalan:2.847977):0.228372):0.017613,French:3.093961):0.067386,((((((Ukrainian:2.360451,Russian:2.360451):0.190045,(((Serbian:1.676268,Bosnian:1.676268):0.296482,Croatian:1.972750):0.385977,Macedonian:2.358727):0.191768):0.108338,((Slovak:2.412465,Polish:2.412465):0.130157,Czech:2.542621):0.116212):0.089678,Bulgarian:2.748511):0.094901,(Lithuanian:2.392295,Latvian:2.392295):0.451118):0.026364,Slovenian:2.869777):0.291571):0.059487,Romanian:3.220835):0.094141,(((Icelandic:2.952165,Danish:2.952165):0.127482,(Swedish:2.696452,Norwegian:2.696452):0.383195):0.135656,(((Dutch:2.441066,Afrikaans:2.441066):0.557547,German:2.998612):0.073246,English:3.071859):0.143444):0.099673):0.080352,Greek:3.395328):0.083072,(((Urdu:2.602508,Hindi:2.602508):0.460150,Bengali:3.062658):0.059982,(Marathi:2.851218,Gujarati:2.851218):0.271423):0.355760);
DTW-D	by-max	CMN	WPGMA	CQCC	((((((((((Spanish:2.224014,Galician:2.224014):0.277525,Italian:2.501539):0.084276,Portuguese:2.585815):0.276857,Catalan:2.862672):0.309675,French:3.172348):0.084724,Romanian:3.257071):0.050271,(((((((Sinhala:2.619777,Nepali:2.619777):0.172176,(Welsh:2.569477,Irish:2.569477):0.222476):0.021920,Armenian:2.813874):0.056718,Persian:2.870592):0.027631,Pashto:2.898223):0.175720,Albanian:3.073943):0.155924,((((((Slovak:2.412465,Polish:2.412465):0.130157,Czech:2.542621):0.125256,(Ukrainian:2.360451,Russian:2.360451):0.307426):0.107566,((((Serbian:1.676268,Bosnian:1.676268):0.296482,Croatian:1.972750):0.430395,Macedonian:2.403145):0.173133,Bulgarian:2.576277):0.199165):0.091025,(Lithuanian:2.392295,Latvian:2.392295):0.474173):0.076746,Slovenian:2.943213):0.286654):0.077475):0.134357,Greek:3.441699):0.093682,((((Dutch:2.441066,Afrikaans:2.441066):0.557547,German:2.998612):0.097974,English:3.096586):0.143044,((Icelandic:2.952165,Danish:2.952165):0.127482,(Swedish:2.696452,Norwegian:2.696452):0.383195):0.159983):0.295751):0.124373,(((Urdu:2.602508,Hindi:2.602508):0.460150,Bengali:3.062658):0.083732,(Marathi:2.851218,Gujarati:2.851218):0.295173):0.513363);
DTW-D	by-max	CMN	UPGMC	CQCC	((((((((((((((((((Dutch:2.441066,Afrikaans:2.441066):-0.292958,(((((((((((((Spanish:2.224014,Galician:2.224014):0.016823,Italian:2.240837):-0.084048,Portuguese:2.156789):-0.018805,((((((((((Serbian:1.676268,Bosnian:1.676268):0.111893,Croatian:1.788161):0.309909,Macedonian:2.098070):0.062547,Ukrainian:2.160617):-0.079380,Russian:2.081237):-0.007848,Lithuanian:2.073389):0.026532,Slovak:2.099921):-0.069819,Polish:2.030102):0.059516,Czech:2.089618):0.052558,Bulgarian:2.142176):-0.004193):0.002521,Welsh:2.140504):0.006221,Sinhala:2.146725):0.037143,Armenian:2.183869):0.025925,Nepali:2.209793):0.050688,Slovenian:2.260481):0.024285,Persian:2.284765):0.071266,Latvian:2.356031):0.015447,Albanian:2.371478):0.048624,Icelandic:2.420102):-0.271993):0.298848,Pashto:2.446956):0.022076,French:2.469032):-0.004919,Romanian:2.464113):0.042632,Irish:2.506745):0.000527,Urdu:2.507272):0.000003,Danish:2.507274):0.002547,Swedish:2.509821):0.005134,German:2.514955):0.033264,English:2.548219):0.048551,Greek:2.596770):0.006792,Catalan:2.603562):0.009554,Bengali:2.613117):0.011469,Norwegian:2.624586):0.079483,Marathi:2.704069):-0.006675,Hindi:2.697393):0.053930,Gujarati:2.751323);
DTW-D	by-max	CMN	WPGMC	CQCC	(((((((((((((Urdu:2.602508,Hindi:2.602508):0.148678,Gujarati:2.751186):-0.267452,Marathi:2.483734):0.203274,Bengali:2.687008):-0.087231,((((((((Dutch:2.441066,Afrikaans:2.441066):0.026513,((((((((((Spanish:2.224014,Galician:2.224014):0.016823,Italian:2.240837):-0.046166,Portuguese:2.194672):0.182980,Welsh:2.377652):-0.209106,((((((((((Serbian:1.676268,Bosnian:1.676268):0.111893,Croatian:1.788161):0.366669,Macedonian:2.154830):0.060153,Bulgarian:2.214983):-0.028104,Lithuanian:2.186879):-0.006759,Ukrainian:2.180120):-0.165832,Russian:2.014288):0.182654,Polish:2.196942):-0.156665,Slovak:2.040277):0.063154,Czech:2.103431):0.065115):-0.003530,Sinhala:2.165015):0.031632,Nepali:2.196648):0.143974,Armenian:2.340622):0.013970,Persian:2.354592):0.014900,Pashto:2.369491):0.098088):0.041573,Icelandic:2.509152):-0.025761,Swedish:2.483392):-0.129641,Norwegian:2.353751):0.316234,Danish:2.669985):-0.005287,German:2.664698):-0.054241,English:2.610457):-0.010680):0.002016,Latvian:2.601793):0.019620,Albanian:2.621413):0.046840,French:2.668253):0.088174,Romanian:2.756427):0.011251,Catalan:2.767678):0.227971,Greek:2.995649):-0.046290,Irish:2.949359):-0.014131,Slovenian:2.935227);
DTW-D	by-max	CMN	Ward	CQCC	(((((((((Lithuanian:2.392295,Latvian:2.392295):0.862133,French:3.254427):0.046248,Romanian:3.300675):0.162284,Greek:3.462959):0.116829,((((Persian:2.816716,Armenian:2.816716):0.080027,Pashto:2.896743):0.200387,((Sinhala:2.619777,Nepali:2.619777):0.261115,Albanian:2.880892):0.216238):0.108207,(Welsh:2.569477,Irish:2.569477):0.635860):0.374452):0.786913,((((Spanish:2.224014,Galician:2.224014):0.363482,Italian:2.587496):0.054020,Portuguese:2.641516):0.403450,Catalan:3.044967):1.321735):0.622296,(((Icelandic:2.952165,Danish:2.952165):0.365304,(Swedish:2.696452,Norwegian:2.696452):0.621017):0.532668,(((Dutch:2.441066,Afrikaans:2.441066):0.723430,German:3.164496):0.024580,English:3.189076):0.661062):1.138860):0.539676,(((Urdu:2.602508,Hindi:2.602508):0.598870,Bengali:3.201378):0.227193,(Marathi:2.851218,Gujarati:2.851218):0.577353):2.100104):0.914699,((((Macedonian:2.531655,Bulgarian:2.531655):0.337544,((Serbian:1.676268,Bosnian:1.676268):0.388522,Croatian:2.064790):0.804408):0.199124,Slovenian:3.068322):0.332505,(((Slovak:2.412465,Polish:2.412465):0.175484,Czech:2.587949):0.326973,(Ukrainian:2.360451,Russian:2.360451):0.554471):0.485906):3.042546);
DTW-D	by-max	CMN	NJ	CQCC	(((French:1.59614,(Romanian:1.56757,(Italian:1.13620,((Portuguese:1.26985,(Spanish:1.08827,Galician:1.13574)Inner5:0.14687)Inner10:0.07069,Catalan:1.57725)Inner17:0.03593)Inner21:0.08801)Inner28:0.08093)Inner32:0.08441,(((Persian:1.35539,Pashto:1.52342)Inner31:0.09379,(((Urdu:1.21116,Hindi:1.39135)Inner3:0.17812,(Marathi:1.38409,Gujarati:1.46713)Inner4:0.17016)Inner9:0.07558,(Nepali:1.08695,Bengali:1.54010)Inner15:0.01675)Inner16:0.24894)Inner36:0.01680,((Greek:1.72333,Armenian:1.26259)Inner34:0.05116,(((Lithuanian:0.96854,Latvian:1.42375)Inner22:0.12156,(((Ukrainian:1.15499,Russian:1.20546)Inner12:0.12396,(Polish:1.20603,(Slovak:1.23572,Czech:1.19209)Inner8:0.11501)Inner14:0.06260)Inner19:0.02648,(Slovenian:1.48636,((Macedonian:1.22813,Bulgarian:1.30352)Inner11:0.04320,(Croatian:1.03430,(Serbian:0.95134,Bosnian:0.72493)Inner1:0.10031)Inner2:0.21662)Inner13:0.08790)Inner18:0.03711)Inner20:0.16014)Inner30:0.08995,((((Swedish:1.28725,Norwegian:1.40921)Inner6:0.23223,Icelandic:1.40183)Inner24:0.03909,Danish:1.53436)Inner27:0.05734,(German:1.54752,(English:1.57094,(Dutch:1.21455,Afrikaans:1.22652)Inner7:0.23093)Inner25:0.02597)Inner26:0.06431)Inner29:0.12103)Inner35:0.02571)Inner37:0.01118)Inner38:0.01586)Inner39:0.00379,(Sinhala:1.24285,Albanian:1.49163)Inner33:0.05429,(Welsh:1.04646,Irish:1.52302)Inner23:0.17336)Inner40:0.00000;
DTW-D	by-max	CMN	Single	GFCC	(((((((((((((((((((((((((((((((((((((Lithuanian:42.722512,Afrikaans:42.722512):0.531372,(Sinhala:41.464353,Albanian:41.464353):1.789531):1.543079,Icelandic:44.796963):0.200885,Galician:44.997848):0.482728,Nepali:45.480576):0.329368,Pashto:45.809944):0.475560,Persian:46.285504):0.090785,Irish:46.376289):0.031198,Bengali:46.407487):0.099928,(((Serbian:36.381162,Bosnian:36.381162):6.662131,Macedonian:43.043293):3.126389,Croatian:46.169682):0.337733):0.864901,Armenian:47.372316):0.551429,Urdu:47.923745):0.034385,Ukrainian:47.958130):0.118766,Russian:48.076896):0.043416,Swedish:48.120312):0.039606,Marathi:48.159917):0.302058,Latvian:48.461976):0.088100,Norwegian:48.550076):0.610451,Gujarati:49.160527):0.188735,Dutch:49.349262):0.068132,French:49.417393):0.257984,Bulgarian:49.675378):0.039138,Portuguese:49.714515):0.352924,German:50.067439):0.777269,Slovak:50.844708):0.479764,Catalan:51.324472):0.969787,Romanian:52.294259):0.105995,Welsh:52.400253):0.649845,Danish:53.050099):0.156255,Spanish:53.206354):0.017040,Italian:53.223393):0.036940,Hindi:53.260334):1.429380,Greek:54.689713):0.881772,Slovenian:55.571486):0.013342,English:55.584827):0.186490,Czech:55.771317):0.851928,Polish:56.623245);
DTW-D	by-max	CMN	Complete	GFCC	((((((Romanian:71.726468,French:71.726468):2.218662,((((((((Sinhala:41.464353,Albanian:41.464353):7.449777,Persian:48.914130):2.701989,Armenian:51.616119):1.656553,Galician:53.272672):2.060393,((Lithuanian:42.722512,Afrikaans:42.722512):6.717178,Icelandic:49.439690):5.893375):7.349998,Pashto:62.683062):2.841687,(Welsh:55.148384,Irish:55.148384):10.376365):5.091543,Latvian:70.616292):3.328838):6.328476,English:80.273606):1.350854,(((Swedish:55.818731,Norwegian:55.818731):14.140534,Danish:69.959265):1.584512,(German:60.755327,Dutch:60.755327):10.788451):10.080682):5.887011,((((Slovak:57.983838,Polish:57.983838):8.648867,Czech:66.632705):0.774379,((((Ukrainian:48.271846,Russian:48.271846):4.196650,((Serbian:36.381162,Bosnian:36.381162):8.696259,Macedonian:45.077421):7.391076):6.849743,Bulgarian:59.318240):1.437659,Croatian:60.755899):6.651185):2.446224,Slovenian:69.853308):17.658163):3.647529,(((((Marathi:50.446085,Gujarati:50.446085):9.209366,(Nepali:49.440733,Bengali:49.440733):10.214717):4.352652,(Urdu:55.067235,Hindi:55.067235):8.940868):13.203877,((Spanish:57.260152,Portuguese:57.260152):4.420449,(Italian:55.901679,Catalan:55.901679):5.778922):15.531378):6.048673,Greek:83.260653):7.898347);
DTW-D	by-max	CMN	UPGMA	GFCC	(((((((((((((((Welsh:55.148384,Irish:55.148384):1.840448,((((((((Lithuanian:42.722512,Afrikaans:42.722512):2.892326,(Sinhala:41.464353,Albanian:41.464353):4.150486):2.906714,Nepali:48.521552):0.994118,Persian:49.515670):1.170014,Armenian:50.685684):0.444724,Icelandic:51.130408):0.703975,Galician:51.834383):2.548506,Pashto:54.382888):2.605943):1.378147,Bengali:58.366979):2.624170,(((((Serbian:36.381162,Bosnian:36.381162):7.679195,Macedonian:44.060357):4.929837,Croatian:48.990194):4.484446,(Ukrainian:48.271846,Russian:48.271846):5.202794):3.455584,Bulgarian:56.930224):4.060925):3.425385,(Swedish:55.818731,Norwegian:55.818731):8.597803):1.390983,Latvian:65.807518):0.380569,(German:60.755327,Dutch:60.755327):5.432760):0.768597,((Urdu:55.067235,Hindi:55.067235):5.240154,(Marathi:50.446085,Gujarati:50.446085):9.861304):6.649295):1.235353,((Spanish:57.260152,Portuguese:57.260152):2.744999,(Italian:55.901679,Catalan:55.901679):4.103472):8.186886):0.329092,French:68.521129):1.666880,Romanian:70.188009):1.563608,(((Slovak:57.983838,Polish:57.983838):4.639082,Czech:62.622920):6.885787,Slovenian:69.508707):2.242911):2.137143,Danish:73.888760):1.108429,English:74.997189):3.612878,Greek:78.610067);
DTW-D	by-max	CMN	WPGMA	GFCC	((((((((Slovak:57.983838,Polish:57.983838):4.639082,Czech:62.622920):2.084034,(((((Serbian:36.381162,Bosnian:36.381162):7.679195,Macedonian:44.060357):6.290060,Croatian:50.350417):5.338562,(Ukrainian:48.271846,Russian:48.271846):7.417133):2.329601,Bulgarian:58.018580):6.688374):3.442077,Slovenian:68.149031):5.724014,Latvian:73.873044):2.436223,(((((((Portuguese:53.329732,Galician:53.329732):2.511267,Italian:55.840998):2.697693,Spanish:58.538691):1.598815,Catalan:60.137506):10.845729,French:70.983235):0.915682,Romanian:71.898917):1.924521,(((Marathi:50.446085,Gujarati:50.446085):9.164480,Bengali:59.610565):1.199482,(Urdu:55.067235,Hindi:55.067235):5.742811):13.013392):2.485829):1.809493,((((((Welsh:55.148384,Irish:55.148384):2.645511,(((((Lithuanian:42.722512,Afrikaans:42.722512):2.892326,(Sinhala:41.464353,Albanian:41.464353):4.150486):2.906714,Nepali:48.521552):3.191878,Armenian:51.713430):0.560513,(Persian:49.809705,Pashto:49.809705):2.464237):5.519953):5.325196,((Swedish:54.759279,Icelandic:54.759279):1.470935,Norwegian:56.230214):6.888877):2.420939,(German:60.755327,Dutch:60.755327):4.784703):4.174961,Danish:69.714991):6.521113,English:76.236104):1.882656):5.996941,Greek:84.115702);
